"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","TO%","%FT","FTA/FGA","%SF","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
35,"Nipissing Lakers",25,92.3,100,59,0.639,63.4,19.9,43.4,31.4,36.3,22.2,10.3,0.28,8.4,29.7,39.9,13.8,26.2,34.5,23.4,6.2,17.3,26.3,0.37
35,"York (ONT) Lions",27,96.8,100,61.9,0.639,67.1,21.5,45.6,32,35.6,20.4,11.9,0.32,10.5,31.1,47,16.6,30.3,35.4,20.1,4.9,15.3,24.1,0.3
37,"Mount Royal Cougars",26,95.1,100,59.8,0.629,60.7,20.8,39.8,34.4,37.7,25.8,11.8,0.35,10.1,31.2,44.8,16.8,27.9,37.6,15.9,4,11.9,25.2,0.26
38,"University Quebec - Montreal",19,88.4,100,55,0.622,60.5,20.4,40.1,33.7,38.3,24.5,8.6,0.23,7.3,29,37.5,14.8,22.7,39.6,23,5.6,17.4,24.3,0.38
39,"Dalhousie Tigers",23,96.5,100,59.8,0.62,70.6,21.1,49.5,29.9,33.7,17.7,10.3,0.27,8.9,30.1,46.5,15.7,30.8,33.8,24.1,5.3,18.7,22.2,0.34
40,"Northern British Columbia Timberwolves",24,89.3,100,55.3,0.619,60.3,19.6,40.6,32.6,36.3,24.3,9.3,0.26,7.2,29.4,40.9,15.1,25.8,36.9,19.3,4.5,14.8,23.5,0.32
41,"Lakehead University Thunderwolves",23,85.9,100,52.7,0.614,58.1,18.1,40,31.1,35.9,22.4,11.3,0.32,10.2,29,35.6,12.6,23,35.4,22.5,5.5,17,24.4,0.39
42,"Laurentian Voyageurs",30,90.1,100,55.2,0.613,58.6,18.2,40.4,31,35.8,24.7,12,0.34,9.3,29.2,35.3,12.6,22.8,35.6,23.3,5.6,17.7,24.1,0.4
43,"Winnipeg Wesmen",21,93.9,100,56.9,0.606,66.8,20.2,46.6,30.2,34.7,21.2,9.2,0.24,7.9,28.2,42.4,14.3,28.1,33.7,24.4,5.9,18.5,24.2,0.37
44,"Ontario Tech",22,86.7,100,49.5,0.571,60.3,17.4,42.9,28.8,33,22.2,9.4,0.26,8.3,27.1,39.5,12.4,27.2,31.3,20.7,5,15.7,24.1,0.34
45,"Brandon University Bobcats",18,96.2,100,53.4,0.555,63.9,18.9,45,29.6,34,26.6,8.3,0.23,6.1,26.1,39.8,13.2,26.6,33.1,24.1,5.7,18.4,23.7,0.38
46,"Thompson Rivers University Wolfpack",21,89,100,48.1,0.541,59.2,17.5,41.8,29.5,34,26.8,7.6,0.22,6.3,25.4,38.4,12.2,26.2,31.7,20.8,5.3,15.5,25.4,0.35
47,"Algoma Thunderbirds",25,84,100,45.4,0.54,58.8,16.9,41.9,28.7,33.7,24.8,5.9,0.16,5.1,24.6,33.7,11,22.7,32.6,25.1,5.9,19.2,23.4,0.43
48,"MacEwan University Griffins",24,91.1,100,46.5,0.511,58.1,16.7,41.4,28.8,32.2,28.3,8.8,0.26,7,24.8,36.2,12.7,23.5,35,21.9,4,17.9,18.4,0.38
