synergy_id,reason,details
54d6518e3ad33bf4a9d80f9a,Team name not found in lookup,"{'Season': '2014-2015', 'Game ID': '54d6518e3ad33bf4a9d80f9a', 'UTC Date': '2015-02-07T01:00:00Z', 'Game Name': 'UBCOkaganan@MacEwan', 'Home Team': 'MacEwan University Griffins', 'Away Team': 'British Columbia - Okanagan '}"
54d68aa43ad33bf4a9d80fc5,Team name not found in lookup,"{'Season': '2014-2015', 'Game ID': '54d68aa43ad33bf4a9d80fc5', 'UTC Date': '2015-02-06T23:00:00Z', 'Game Name': 'MountRoyal@ThompsonRivers', 'Home Team': 'Thompson Rivers University Wolfpack', 'Away Team': 'Mount Royal Cougars '}"
54db0f7c3ad33bf4a9d81b73,No matching game found in database,"{'Season': '2014-2015', 'Game ID': '54db0f7c3ad33bf4a9d81b73', 'UTC Date': '2015-02-06T01:00:00Z', 'Game Name': 'Alberta@Calgary', 'Home Team': 'Calgary Dinos', 'Away Team': 'Alberta Pandas'}"
54d1201d3ad33bf4a9d804ca,Team name not found in lookup,"{'Season': '2014-2015', 'Game ID': '54d1201d3ad33bf4a9d804ca', 'UTC Date': '2015-02-01T22:00:00Z', 'Game Name': 'FraserValley@MountRoyal', 'Home Team': 'Mount Royal Cougars ', 'Away Team': 'Fraser Valley Cascades'}"
54cf37af3ad33bf4a9d7fdd2,No matching game found in database,"{'Season': '2014-2015', 'Game ID': '54cf37af3ad33bf4a9d7fdd2', 'UTC Date': '2015-02-01T01:00:00Z', 'Game Name': 'MacEwan@UNBC', 'Home Team': 'Northern British Columbia Timberwolves', 'Away Team': 'MacEwan University Griffins'}"
54cf6d9a3ad33bf4a9d7fe23,No matching game found in database,"{'Season': '2014-2015', 'Game ID': '54cf6d9a3ad33bf4a9d7fe23', 'UTC Date': '2015-02-01T01:00:00Z', 'Game Name': 'Calgary@UBC', 'Home Team': 'British Columbia Thunderbirds', 'Away Team': 'Calgary Dinos'}"
54d0e1c63ad33bf4a9d80175,No matching game found in database,"{'Season': '2014-2015', 'Game ID': '54d0e1c63ad33bf4a9d80175', 'UTC Date': '2015-02-01T01:00:00Z', 'Game Name': 'Lethbridge@Victoria', 'Home Team': 'Victoria Vikes', 'Away Team': 'Lethbridge Pronghorns'}"
54d12b5d3ad33bf4a9d804ef,Team name not found in lookup,"{'Season': '2014-2015', 'Game ID': '54d12b5d3ad33bf4a9d804ef', 'UTC Date': '2015-02-01T01:00:00Z', 'Game Name': 'FraserValley@MountRoyal', 'Home Team': 'Mount Royal Cougars ', 'Away Team': 'Fraser Valley Cascades'}"
54cea6613ad33bf4a9d7fd80,No matching game found in database,"{'Season': '2014-2015', 'Game ID': '54cea6613ad33bf4a9d7fd80', 'UTC Date': '2015-02-01T00:15:00Z', 'Game Name': 'TrinityWestern@Sasakatchewan', 'Home Team': 'Saskatchewan Huskies', 'Away Team': 'Trinity Western Spartans'}"
54ceb03a3ad33bf4a9d7fd8f,No matching game found in database,"{'Season': '2014-2015', 'Game ID': '54ceb03a3ad33bf4a9d7fd8f', 'UTC Date': '2015-02-01T00:00:00Z', 'Game Name': 'BrandonUniversity@Alberta', 'Home Team': 'Alberta Pandas', 'Away Team': 'Brandon University Bobcats'}"
54cfb0293ad33bf4a9d7ff42,Team name not found in lookup,"{'Season': '2014-2015', 'Game ID': '54cfb0293ad33bf4a9d7ff42', 'UTC Date': '2015-01-31T22:00:00Z', 'Game Name': 'ThompsonRivers@UBCOkaganan', 'Home Team': 'British Columbia - Okanagan ', 'Away Team': 'Thompson Rivers University Wolfpack'}"
54ce01613ad33bf4a9d7fbe6,No matching game found in database,"{'Season': '2014-2015', 'Game ID': '54ce01613ad33bf4a9d7fbe6', 'UTC Date': '2015-01-31T02:00:00Z', 'Game Name': 'Calgary@UBC', 'Home Team': 'British Columbia Thunderbirds', 'Away Team': 'Calgary Dinos'}"
54cf97c93ad33bf4a9d7feec,Team name not found in lookup,"{'Season': '2014-2015', 'Game ID': '54cf97c93ad33bf4a9d7feec', 'UTC Date': '2015-01-30T23:00:00Z', 'Game Name': 'ThompsonRivers@UBCOkaganan', 'Home Team': 'British Columbia - Okanagan ', 'Away Team': 'Thompson Rivers University Wolfpack'}"
54c6a5d13ad33bf4a9d7ecdf,Team name not found in lookup,"{'Season': '2014-2015', 'Game ID': '54c6a5d13ad33bf4a9d7ecdf', 'UTC Date': '2015-01-25T01:00:00Z', 'Game Name': 'UBCOkaganan@FraserValley', 'Home Team': 'Fraser Valley Cascades', 'Away Team': 'British Columbia - Okanagan '}"
54c6dca93ad33bf4a9d7ed74,No matching game found in database,"{'Season': '2014-2015', 'Game ID': '54c6dca93ad33bf4a9d7ed74', 'UTC Date': '2015-01-25T01:00:00Z', 'Game Name': 'UBC@TrinityWestern', 'Home Team': 'Trinity Western Spartans', 'Away Team': 'British Columbia Thunderbirds'}"
54c63cd43ad33bf4a9d7eb63,Team name not found in lookup,"{'Season': '2014-2015', 'Game ID': '54c63cd43ad33bf4a9d7eb63', 'UTC Date': '2015-01-25T00:00:00Z', 'Game Name': 'UNBC@MountRoyal', 'Home Team': 'Mount Royal Cougars ', 'Away Team': 'Northern British Columbia Timberwolves'}"
54c6a55a3ad33bf4a9d7ecdc,No matching game found in database,"{'Season': '2014-2015', 'Game ID': '54c6a55a3ad33bf4a9d7ecdc', 'UTC Date': '2015-01-25T00:00:00Z', 'Game Name': 'Alberta@Regina(Canada)', 'Home Team': 'Regina (Canada) Cougars', 'Away Team': 'Alberta Pandas'}"
54cb7e923ad33bf4a9d7f905,No matching game found in database,"{'Season': '2014-2015', 'Game ID': '54cb7e923ad33bf4a9d7f905', 'UTC Date': '2015-01-25T00:00:00Z', 'Game Name': 'Victoria@Calgary', 'Home Team': 'Calgary Dinos', 'Away Team': 'Victoria Vikes'}"
54c46c9a3ad33bf4a9d7e940,No matching game found in database,"{'Season': '2014-2015', 'Game ID': '54c46c9a3ad33bf4a9d7e940', 'UTC Date': '2015-01-24T02:00:00Z', 'Game Name': 'UBC@TrinityWestern', 'Home Team': 'Trinity Western Spartans', 'Away Team': 'British Columbia Thunderbirds'}"
54c6a8a23ad33bf4a9d7ece3,Team name not found in lookup,"{'Season': '2014-2015', 'Game ID': '54c6a8a23ad33bf4a9d7ece3', 'UTC Date': '2015-01-24T02:00:00Z', 'Game Name': 'UBCOkaganan@FraserValley', 'Home Team': 'Fraser Valley Cascades', 'Away Team': 'British Columbia - Okanagan '}"
54c46aad3ad33bf4a9d7e93f,Team name not found in lookup,"{'Season': '2014-2015', 'Game ID': '54c46aad3ad33bf4a9d7e93f', 'UTC Date': '2015-01-24T01:00:00Z', 'Game Name': 'UNBC@MountRoyal', 'Home Team': 'Mount Royal Cougars ', 'Away Team': 'Northern British Columbia Timberwolves'}"
54c386eb3ad33bf4a9d7e729,No matching game found in database,"{'Season': '2014-2015', 'Game ID': '54c386eb3ad33bf4a9d7e729', 'UTC Date': '2015-01-23T00:00:00Z', 'Game Name': 'Winnipeg@BrandonUniversity', 'Home Team': 'Brandon University Bobcats', 'Away Team': 'Winnipeg Wesmen'}"
54bcc01d3ad33bf4a9d7d849,No matching game found in database,"{'Season': '2014-2015', 'Game ID': '54bcc01d3ad33bf4a9d7d849', 'UTC Date': '2015-01-18T01:00:00Z', 'Game Name': 'BrandonUniversity@UBC', 'Home Team': 'British Columbia Thunderbirds', 'Away Team': 'Brandon University Bobcats'}"
54bd23f53ad33bf4a9d7d931,No matching game found in database,"{'Season': '2014-2015', 'Game ID': '54bd23f53ad33bf4a9d7d931', 'UTC Date': '2015-01-18T01:00:00Z', 'Game Name': 'Winnipeg@Victoria', 'Home Team': 'Victoria Vikes', 'Away Team': 'Winnipeg Wesmen'}"
54be51d33ad33bf4a9d7db8d,Team name not found in lookup,"{'Season': '2014-2015', 'Game ID': '54be51d33ad33bf4a9d7db8d', 'UTC Date': '2015-01-18T01:00:00Z', 'Game Name': 'MountRoyal@UBCOkaganan', 'Home Team': 'British Columbia - Okanagan ', 'Away Team': 'Mount Royal Cougars '}"
54bc4e363ad33bf4a9d7d716,No matching game found in database,"{'Season': '2014-2015', 'Game ID': '54bc4e363ad33bf4a9d7d716', 'UTC Date': '2015-01-18T00:15:00Z', 'Game Name': 'Regina(Canada)@Saskatchewan', 'Home Team': 'Saskatchewan Huskies', 'Away Team': 'Regina (Canada) Cougars'}"
54bc9c7e3ad33bf4a9d7d80a,No matching game found in database,"{'Season': '2014-2015', 'Game ID': '54bc9c7e3ad33bf4a9d7d80a', 'UTC Date': '2015-01-18T00:00:00Z', 'Game Name': 'FraserValley@MacEwan', 'Home Team': 'MacEwan University Griffins', 'Away Team': 'Fraser Valley Cascades'}"
54bcf4263ad33bf4a9d7d888,No matching game found in database,"{'Season': '2014-2015', 'Game ID': '54bcf4263ad33bf4a9d7d888', 'UTC Date': '2015-01-18T00:00:00Z', 'Game Name': 'Calgary@Lethbridge', 'Home Team': 'Lethbridge Pronghorns', 'Away Team': 'Calgary Dinos'}"
54be62b23ad33bf4a9d7db9f,Team name not found in lookup,"{'Season': '2014-2015', 'Game ID': '54be62b23ad33bf4a9d7db9f', 'UTC Date': '2015-01-17T02:00:00Z', 'Game Name': 'MountRoyal@UBCOkaganan', 'Home Team': 'British Columbia - Okanagan ', 'Away Team': 'Mount Royal Cougars '}"
54ba6ba93ad33bf4a9d7d427,No matching game found in database,"{'Season': '2014-2015', 'Game ID': '54ba6ba93ad33bf4a9d7d427', 'UTC Date': '2015-01-17T01:00:00Z', 'Game Name': 'Calgary@Lethbridge', 'Home Team': 'Lethbridge Pronghorns', 'Away Team': 'Calgary Dinos'}"
54b3ae4c3ad33bf4a9d7c6e9,No matching game found in database,"{'Season': '2014-2015', 'Game ID': '54b3ae4c3ad33bf4a9d7c6e9', 'UTC Date': '2015-01-11T01:00:00Z', 'Game Name': 'UNBC@MacEwan', 'Home Team': 'MacEwan University Griffins', 'Away Team': 'Northern British Columbia Timberwolves'}"
54b415e33ad33bf4a9d7c803,Team name not found in lookup,"{'Season': '2014-2015', 'Game ID': '54b415e33ad33bf4a9d7c803', 'UTC Date': '2015-01-11T01:00:00Z', 'Game Name': 'MountRoyal@FraserValley', 'Home Team': 'Fraser Valley Cascades', 'Away Team': 'Mount Royal Cougars '}"
54b477dd3ad33bf4a9d7c99a,No matching game found in database,"{'Season': '2014-2015', 'Game ID': '54b477dd3ad33bf4a9d7c99a', 'UTC Date': '2015-01-11T01:00:00Z', 'Game Name': 'Regina(Canada)@TrinityWestern', 'Home Team': 'Trinity Western Spartans', 'Away Team': 'Regina (Canada) Cougars'}"
54b304223ad33bf4a9d7c654,No matching game found in database,"{'Season': '2014-2015', 'Game ID': '54b304223ad33bf4a9d7c654', 'UTC Date': '2015-01-11T00:00:00Z', 'Game Name': 'UBC@Lethbridge', 'Home Team': 'Lethbridge Pronghorns', 'Away Team': 'British Columbia Thunderbirds'}"
54b3f6a73ad33bf4a9d7c78f,Team name not found in lookup,"{'Season': '2014-2015', 'Game ID': '54b3f6a73ad33bf4a9d7c78f', 'UTC Date': '2015-01-10T22:00:00Z', 'Game Name': 'UBCOkaganan@ThompsonRivers', 'Home Team': 'Thompson Rivers University Wolfpack', 'Away Team': 'British Columbia - Okanagan '}"
