Season,GameID,UTCDate,GameName,Team1_FullName,Team2_FullName,GameID_DB
2018-2019,5b7b7ae3aeda7199397e7125,2019-01-18T22:00:00Z,NewBrunswick@Acadia,Acadia Axewomen,New Brunswick Varsity Reds,W20190118ACAUNB
2018-2019,5b7b7ae3aeda7199397e7128,2019-01-18T22:00:00Z,StFrancisXavier@PrinceEdward,Prince Edward Island Panthers,St. Francis Xavier X-Women,W20190118UPEISFX
2018-2019,5b772d5511ef0d110392296f,2019-01-18T17:30:00Z,BritishColumbia@BrandonUni,Brandon University Bobcats,British Columbia Thunderbirds,W20190118BRAUBC
2018-2019,5b782df911ef0d11033909a1,2019-01-17T23:00:00Z,Bishops@QuebecMontreal,University Quebec - Montreal,Bishops Gaiters,W20190117UQABIS
2018-2019,5b782df911ef0d11033909a4,2019-01-17T23:00:00Z,McGill@Concordia(QUE),Concordia (QUE) Stingers,McGill University Martlets,W20190117CONMCG
2018-2019,5b7ab028aeda7199392e7b22,2019-01-16T23:00:00Z,Brock@Guelph,Guelph Gryphons,Brock Badgers,W20190116GUEBRO
2018-2019,5b7ab028aeda7199392e7b26,2019-01-16T23:00:00Z,Waterloo@Windsor,Windsor Lancers,Waterloo Warriors,W20190116WINWAT
2018-2019,5b7b81eaaeda7199398ab499,2019-01-16T22:00:00Z,CapeBreton@StFrancisXavier,St. Francis Xavier X-Men,Cape Breton Capers,W20190116UNKCB
2018-2019,5b7b7ae3aeda7199397e711c,2019-01-15T22:00:00Z,Dalhousie@SaintMary's(CAN),Saint Mary's (CAN) Huskies  ,Dalhousie Tigers,W20190115UNKDAL
2018-2019,5b7b7ae3aeda7199397e7117,2019-01-13T17:00:00Z,MemorialCan@Acadia,Acadia Axewomen,Memorial Sea-Hawks,W20190113ACAMEM
2018-2019,5b772d5511ef0d110392295f,2019-01-13T01:00:00Z,ThompsonRivers@Winnipeg,Winnipeg Wesmen,Thompson Rivers University Wolfpack,W20190113WINTRU
2018-2019,5b772d5511ef0d1103922963,2019-01-13T01:00:00Z,ManitobaBisons@NorthernBC,Northern British Columbia Timberwolves,Manitoba Bisons,W20190113UNBCMAN
2018-2019,5b772d5511ef0d1103922968,2019-01-13T01:00:00Z,FraserValley@Victoria,Victoria Vikes,Fraser Valley Cascades,W20190113VICUFV
2018-2019,5b772d5511ef0d110392296b,2019-01-13T01:00:00Z,BritishColumbia@TrinityWestern,Trinity Western Spartans,British Columbia Thunderbirds,W20190113TWUUBC
2018-2019,5b772c2811ef0d11038f267b,2019-01-13T00:00:00Z,BCOkanagan @Regina,Regina (Canada) Cougars,British Columbia - Okanagan ,W20190113REGUNK
2018-2019,5b772c2811ef0d11038f267e,2019-01-13T00:00:00Z,MountRoyal@Lethbridge,Lethbridge Pronghorns,Mount Royal Cougars ,W20190113LETUNK
2018-2019,5b772d5511ef0d110392295a,2019-01-13T00:00:00Z,Calgary@MacEwan,MacEwan University Griffins,Calgary Dinos,W20190113MACCAL
2018-2019,5b772c2811ef0d11038f2675,2019-01-12T23:00:00Z,Alberta@BrandonUni,Brandon University Bobcats,Alberta Pandas,W20190112BRAALB
2018-2019,5b782df911ef0d110339099c,2019-01-12T23:00:00Z,Concordia(QUE)@Bishops,Bishops Gaiters,Concordia (QUE) Stingers,W20190112BISCON
2018-2019,5b7a7ef0aeda7199391b22f3,2019-01-12T23:00:00Z,Laurier@McMaster,McMaster Marauders,Wilfrid Laurier,W20190112MACWLU
2018-2019,5b7aadd0aeda71993918f50d,2019-01-12T23:00:00Z,Algoma@WesternOntario,Western Ontario Mustangs,Algoma Thunderbirds,W20190112WESALG
2018-2019,5b7aadd0aeda71993918f511,2019-01-12T23:00:00Z,Brock@Waterloo,Waterloo Warriors,Brock Badgers,W20190112WATBRO
2018-2019,5b7aadd0aeda71993918f516,2019-01-12T23:00:00Z,UniOttawa@Laurentian,Laurentian Voyageurs ,Ottawa Gee-Gees,W20190112UNKOTT
2018-2019,5b7aadd0aeda71993918f51c,2019-01-12T23:00:00Z,TorontoVarBlues@QueensOntario,Queens (ON) University Golden Gaels,Toronto Varsity Blues,W20190112QUETOR
2018-2019,5b7aadd0aeda71993918f521,2019-01-12T23:00:00Z,Windsor@Lakehead,Lakehead University Thunderwolves,Windsor Lancers,W20190112LAKWIN
2018-2019,5b7ab028aeda7199392e7b15,2019-01-12T23:00:00Z,RyersonUni@York(ONT),York (ONT) Lions,Ryerson University Rams,W20190112YORUNK
2018-2019,5b7ab028aeda7199392e7b1d,2019-01-12T23:00:00Z,CarletonUni@Nipissing,Nipissing Lakers,Carleton University Ravens,W20190112NIPCAR
2018-2019,5b7b788aaeda71993978acbb,2019-01-12T22:00:00Z,PrinceEdward@SaintMary's(CAN),Saint Mary's (CAN) Huskies,Prince Edward Island Panthers,W20190112SMUUPEI
2018-2019,5b7b788aaeda71993978acb0,2019-01-12T17:00:00Z,MemorialCan@Acadia,Acadia Axewomen,Memorial Sea-Hawks,W20190112ACAMEM
2018-2019,5b7b788aaeda71993978acb5,2019-01-12T17:00:00Z,CapeBreton@NewBrunswick,New Brunswick Varsity Reds,Cape Breton Capers,W20190112UNBCB
2018-2019,5b772c2811ef0d11038f266b,2019-01-12T02:00:00Z,FraserValley@Victoria,Victoria Vikes,Fraser Valley Cascades,W20190112VICUFV
2018-2019,5b772c2811ef0d11038f266f,2019-01-12T02:00:00Z,ManitobaBisons@NorthernBC,Northern British Columbia Timberwolves,Manitoba Bisons,W20190112UNBCMAN
2018-2019,5b772c2811ef0d11038f2672,2019-01-12T02:00:00Z,BritishColumbia@TrinityWestern,Trinity Western Spartans,British Columbia Thunderbirds,W20190112TWUUBC
2018-2019,5b772c2811ef0d11038f2667,2019-01-12T01:00:00Z,Calgary@MacEwan,MacEwan University Griffins,Calgary Dinos,W20190112MACCAL
2018-2019,5b772c2811ef0d11038f265a,2019-01-12T00:00:00Z,BCOkanagan @Regina,Regina (Canada) Cougars,British Columbia - Okanagan ,W20190112REGUNK
