Season,GameID,UTCDate,GameName,Team1_FullName,Team2_FullName,GameID_DB
2021-2022,613cc0500e50d3cf17c9288f,2022-03-09T22:00:00Z,StFrancisXavier@Acadia,Acadia Axewomen,St. Francis Xavier X-Men,W20220309ACAUNK
2021-2022,621d0cb725a53488851b52e7,2022-03-07T00:00:00Z,Winnipeg@FraserValley,Fraser Valley Cascades,Winnipeg Wesmen,W20220307UFVWIN
2021-2022,613cc0500e50d3cf17c92885,2022-03-06T22:00:00Z,StFrancisXavier@PrinceEdward,Prince Edward Island Panthers,St. Francis Xavier X-Men,W20220306UPEIUNK
2021-2022,613cc0500e50d3cf17c9288a,2022-03-06T22:00:00Z,NewBrunswick@Dalhousie,Dalhousie Tigers,New Brunswick Varsity Reds,W20220306DALUNB
2021-2022,6141228456604dae914e1d5c,2022-03-06T20:00:00Z,Laurentian@RyersonUni,Ryerson University Rams,Laurentian Voyageurs,W20220306UNKLAU
2021-2022,621d0cb725a53488851b525a,2022-03-06T20:00:00Z,Lethbridge@TrinityWestern,Trinity Western Spartans,Lethbridge Pronghorns,W20220306TWULET
2021-2022,614123e94713df402f8df2b6,2022-03-06T18:00:00Z,OntarioTech@TorontoVarBlues,Toronto Varsity Blues,Ontario Tech,W20220306TORONT
2021-2022,621d0cb725a53488851b51cc,2022-03-06T18:00:00Z,Calgary@Saskatchewan,Saskatchewan Huskies,Calgary Dinos,W20220306SASCAL
2021-2022,613cc0500e50d3cf17c9288e,2022-03-06T17:00:00Z,MemorialCan@SaintMary's(CAN),Saint Mary's (CAN) Huskies,Memorial Sea-Hawks,W20220306SMUMEM
2021-2022,62265b2025a53488850c990a,2022-03-06T17:00:00Z,Regina@Alberta,Alberta Pandas,Regina (Canada) Cougars,W20220306ALBREG
2021-2022,621d0cb725a53488851b516a,2022-03-06T00:00:00Z,MountRoyal@Winnipeg,Winnipeg Wesmen,Mount Royal Cougars,W20220306WINMRU
2021-2022,6222d26f25a53488855ded6b,2022-03-06T00:00:00Z,Windsor@Lakehead,Lakehead University Thunderwolves,Windsor Lancers,W20220306LAKWIN
2021-2022,61369449f4b1fbbad2f55348,2022-03-05T22:00:00Z,Laval@Bishops,Bishops Gaiters,Laval University,W20220305BISLAV
2021-2022,613cc0500e50d3cf17c9288b,2022-03-05T22:00:00Z,Acadia@PrinceEdward,Prince Edward Island Panthers,Acadia Axewomen,W20220305UPEIACA
2021-2022,613cc0500e50d3cf17c9288d,2022-03-05T22:00:00Z,MemorialCan@SaintMary's(CAN),Saint Mary's (CAN) Huskies,Memorial Sea-Hawks,W20220305SMUMEM
2021-2022,6141228456604dae914e1d56,2022-03-05T22:00:00Z,Laurentian@RyersonUni,Ryerson University Rams,Laurentian Voyageurs,W20220305UNKLAU
2021-2022,621d0cb625a53488851b5119,2022-03-05T22:00:00Z,NorthernBC@Regina,Regina (Canada) Cougars,Northern British Columbia Timberwolves,W20220305REGUNBC
2021-2022,621d0cb625a53488851b5094,2022-03-05T20:00:00Z,MacEwan@TrinityWestern,Trinity Western Spartans,MacEwan University Griffins,W20220305TWUMAC
2021-2022,621d0cb625a53488851b50db,2022-03-05T20:00:00Z,ManitobaBisons@Lethbridge,Lethbridge Pronghorns,Manitoba Bisons,W20220305LETMAN
2021-2022,61369448f4b1fbbad2f551b8,2022-03-05T20:00:00Z,Concordia(QUE)@QuebecMontreal,University Quebec - Montreal,Concordia (QUE) Stingers,W20220305UQACON
2021-2022,6141228456604dae914e1d5a,2022-03-05T19:00:00Z,UniOttawa@Nipissing,Nipissing Lakers,Ottawa Gee-Gees,W20220305NIPOTT
2021-2022,621d0cb625a53488851b504b,2022-03-05T18:00:00Z,Victoria@Calgary,Calgary Dinos,Victoria Vikes,W20220305CALVIC
2021-2022,6222d26f25a53488855ded3d,2022-03-05T00:00:00Z,Windsor@Lakehead,Lakehead University Thunderwolves,Windsor Lancers,W20220305LAKWIN
2021-2022,621d0cb625a53488851b4fff,2022-03-05T00:00:00Z,ThompsonRivers@MountRoyal,Mount Royal Cougars,Thompson Rivers University Wolfpack,W20220305MRUTRU
2021-2022,614123e94713df402f8df2b5,2022-03-04T23:00:00Z,Waterloo@McMaster,McMaster Marauders,Waterloo Warriors,W20220304MACWAT
2021-2022,6141228456604dae914e1d57,2022-03-04T23:00:00Z,Algoma@Brock,Brock Badgers,Algoma Thunderbirds,W20220304BROALG
2021-2022,621d0cb625a53488851b4f76,2022-03-04T22:00:00Z,BrandonUni@NorthernBC,Northern British Columbia Timberwolves,Brandon University Bobcats,W20220304UNBCBRA
2021-2022,6141228456604dae914e1d55,2022-03-04T22:00:00Z,York(ONT)@QueensOntario,Queens (ON) University Golden Gaels,York (ONT) Lions,W20220304QUEYOR
2021-2022,6222ed6125a5348885eece59,2022-03-04T22:00:00Z,UniOttawa@Nipissing,Nipissing Lakers,Ottawa Gee-Gees,W20220304NIPOTT
2021-2022,6141228456604dae914e1d59,2022-03-04T18:00:00Z,Guelph@Laurier,Wilfrid Laurier,Guelph Gryphons,W20220304WLUGUE
2021-2022,621d0cb625a53488851b4eaa,2022-03-04T18:00:00Z,MacEwan@BCOkanagan,British Columbia - Okanagan,MacEwan University Griffins,W20220304UBCOMAC
2021-2022,61369328f4b1fbbad2ebd8b8,2022-03-03T22:00:00Z,Bishops@Laval,Laval University,Bishops Gaiters,W20220303LAVBIS
2021-2022,61369328f4b1fbbad2ebde7f,2022-03-03T22:00:00Z,QuebecMontreal@Concordia(QUE),Concordia (QUE) Stingers,University Quebec - Montreal,W20220303CONUQA
2021-2022,614123e94713df402f8df2b4,2022-03-02T22:00:00Z,OntarioTech@TorontoVarBlues,Toronto Varsity Blues,Ontario Tech,W20220302TORONT
2021-2022,6155d53b31250f8aaa48f759,2022-03-02T22:00:00Z,CarletonUni@UniOttawa,Ottawa Gee-Gees,Carleton University Ravens,W20220302OTTCAR
2021-2022,614123e94713df402f8df2b7,2022-03-02T19:00:00Z,McMaster@Waterloo,Waterloo Warriors,McMaster Marauders,W20220302WATMAC
2021-2022,613cc0500e50d3cf17c9286f,2022-02-27T22:00:00Z,NewBrunswick@StFrancisXavier,St. Francis Xavier X-Men,New Brunswick Varsity Reds,W20220227UNKUNB
2021-2022,6141281ec35329ab78ec3953,2022-02-27T22:00:00Z,Calgary@Alberta,Alberta Pandas,Calgary Dinos,W20220227ALBCAL
2021-2022,613cc0500e50d3cf17c92875,2022-02-27T17:00:00Z,MemorialCan@CapeBreton,Cape Breton Capers,Memorial Sea-Hawks,W20220227CBMEM
2021-2022,613cc0500e50d3cf17c92876,2022-02-27T17:00:00Z,SaintMary's(CAN)@Acadia,Acadia Axewomen,Saint Mary's (CAN) Huskies,W20220227ACASMU
2021-2022,6219878225a53488857304ae,2022-02-27T01:46:00Z,TorontoVarBlues@CarletonUni,Carleton University Ravens,Toronto Varsity Blues,W20220227CARTOR
2021-2022,620f34f907c7bd5c291d0569,2022-02-27T01:00:00Z,Victoria@NorthernBC,Northern British Columbia Timberwolves,Victoria Vikes,W20220227UNBCVIC
2021-2022,6141228456604dae914e1d48,2022-02-26T23:00:00Z,WesternOntario@Laurier,Wilfrid Laurier,Western Ontario Mustangs,W20220226WLUWES
2021-2022,6141228456604dae914e1d52,2022-02-26T23:00:00Z,McMaster@Windsor,Windsor Lancers,McMaster Marauders,W20220226WINMAC
2021-2022,614123e94713df402f8df2b1,2022-02-26T23:00:00Z,Brock@Waterloo,Waterloo Warriors,Brock Badgers,W20220226WATBRO
2022-2023,640b059f6d20dc4a7739cd2a,2023-03-12T21:00:00Z,CarletonUni@QueensOntario,Queens (ON) University Golden Gaels,Carleton University Ravens,W20230312QUECAR
2022-2023,640b059f6d20dc4a7739cc67,2023-03-12T18:00:00Z,SaintMary's(CAN)@Alberta,Alberta Pandas,Saint Mary's (CAN) Huskies,W20230312ALBSMU
2022-2023,640b059f6d20dc4a7739cbcb,2023-03-12T15:00:00Z,Acadia@Calgary,Calgary Dinos,Acadia Axewomen,W20230312CALACA
2022-2023,640b059f6d20dc4a7739cb0f,2023-03-11T22:00:00Z,SaintMary's(CAN)@CarletonUni,Carleton University Ravens,Saint Mary's (CAN) Huskies,W20230311CARSMU
2022-2023,640b059f6d20dc4a7739ca46,2023-03-11T19:00:00Z,QueensOntario@Alberta,Alberta Pandas,Queens (ON) University Golden Gaels,W20230311ALBQUE
2022-2023,640b059f6d20dc4a7739c965,2023-03-11T00:00:00Z,Calgary@CapeBreton,Cape Breton Capers,Calgary Dinos,W20230311CBCAL
2022-2023,640b059f6d20dc4a7739c8b3,2023-03-10T22:00:00Z,Acadia@QuebecMontreal,University Quebec - Montreal,Acadia Axewomen,W20230310UQAACA
2022-2023,64073b4f6d20dc4a7733bf55,2023-03-10T00:00:00Z,CarletonUni@CapeBreton,Cape Breton Capers,Carleton University Ravens,W20230310CBCAR
2022-2023,64073b4f6d20dc4a7733be89,2023-03-09T21:30:00Z,Calgary@SaintMary's(CAN),Saint Mary's (CAN) Huskies,Calgary Dinos,W20230309SMUCAL
2022-2023,64073b4f6d20dc4a7733bdfa,2023-03-09T18:00:00Z,Acadia@Alberta,Alberta Pandas,Acadia Axewomen,W20230309ALBACA
2022-2023,64073b4f6d20dc4a7733bc6c,2023-03-09T15:30:00Z,QuebecMontreal@QueensOntario,Queens (ON) University Golden Gaels,University Quebec - Montreal,W20230309QUEUQA
