2018-2019,5ba1470faeda71993990105c,2018-10-20T17:00:00Z,FraserValley@Victoria,Victoria Vikes,Fraser Valley Cascades
2018-2019,5ba14262aeda719939813bf8,2018-10-20T16:00:00Z,NorthernBC@BCOkanagan ,British Columbia - Okanagan ,Northern British Columbia Timberwolves
2018-2019,5ba144b7aeda7199398833eb,2018-10-20T16:00:00Z,Lethbridge@BritishColumbia,British Columbia Thunderbirds,Lethbridge Pronghorns
2018-2019,5ba14007aeda7199397b211a,2018-10-20T14:00:00Z,BrandonUni@DickinsonSt,Dickinson State Blue Hawks,Brandon University Bobcats
2018-2019,5ba14cebaeda719939a1da58,2018-10-20T07:27:00Z,Bishops@RyersonUni,Ryerson University Rams,Bishops Gaiters
2018-2019,5ba1519caeda719939afafef,2018-10-20T07:27:00Z,MountRoyal@Providence(MT),Providence (MT) Argonauts,Mount Royal Cougars 
2018-2019,5ba153f3aeda719939b6d8b5,2018-10-20T07:27:00Z,York(ONT)@Regina,Regina (Canada) Cougars,York (ONT) Lions
2018-2019,5ba1551faeda719939bc865f,2018-10-20T07:27:00Z,McMaster@Saskatchewan,Saskatchewan Huskies,McMaster Marauders
2018-2019,5ba1195baeda71993924f8c9,2018-10-20T00:00:00Z,Concordia(QUE)@CarletonUni,Carleton University Ravens,Concordia (QUE) Stingers
2018-2019,5ba12062aeda71993930d8d6,2018-10-20T00:00:00Z,QuebecMontreal@CapeBreton,Cape Breton Capers,University Quebec - Montreal
2018-2019,5ba16203aeda719939e8f32f,2018-10-20T00:00:00Z,Laurier@NewBrunswick,New Brunswick Varsity Reds,Wilfrid Laurier
2018-2019,5ba12062aeda71993930d8d0,2018-10-19T23:00:00Z,Laurentian@Acadia,Acadia Axewomen,Laurentian Voyageurs 
2018-2019,5ba12f9faeda719939519737,2018-10-19T23:00:00Z,McGill@McMaster,McMaster Marauders,McGill University Martlets
2018-2019,5ba13edbaeda71993978c8cf,2018-10-19T21:00:00Z,Victoria@Alberta,Alberta Pandas,Victoria Vikes
2018-2019,5ba12897aeda7199393faa87,2018-10-19T18:00:00Z,Bishops@York(ONT),York (ONT) Lions,Bishops Gaiters
2018-2019,5ba14262aeda719939813bf4,2018-10-19T18:00:00Z,NorthernBC@BCOkanagan ,British Columbia - Okanagan ,Northern British Columbia Timberwolves
2018-2019,5ba1470faeda719939901056,2018-10-19T18:00:00Z,Lethbridge@FraserValley,Fraser Valley Cascades,Lethbridge Pronghorns
2018-2019,5ba144b7aeda7199398833e7,2018-10-19T17:00:00Z,Calgary@BritishColumbia,British Columbia Thunderbirds,Calgary Dinos
2018-2019,5ba153f3aeda719939b6d8af,2018-10-19T16:00:00Z,Regina@RyersonUni,Ryerson University Rams,Regina (Canada) Cougars
2018-2019,5ba1519caeda719939afaff6,2018-10-19T07:27:00Z,MountRoyal@MontSt(Northern),Montana State-(Northern) Lights,Mount Royal Cougars 
2018-2019,5ba1551faeda719939bc865c,2018-10-19T07:27:00Z,Saskatchewan@WesternOntario,Western Ontario Mustangs,Saskatchewan Huskies
